0,1,2,3,4,5,6,7,8,9
-3.8462238041199948,-4.493836727714796,-5.258756596497222,-5.81197154656151,-6.51880905078829,-6.380846514853947,-6.582555696928352,-6.701807810037294,-7.024946180800588,-8.45713127895734
-5.1101342953275095,-5.801117186772358,-5.946699362087337,-5.967428829649601,-6.427169696766427,-6.097428159870651,-6.264985567107754,-6.402173616844172,-6.745918065731943,-8.514642283081914
-4.649185726246703,-5.664187470824445,-6.003176065303442,-6.168054590481235,-6.533085504336226,-6.212021322098443,-6.217688455865151,-6.265737981801674,-6.553913749719681,-8.05561207091859
-2.6696274227430417,-3.7689792210217337,-4.28000100917894,-4.604507950400288,-5.267148917320793,-4.968370875282298,-5.0373281920522155,-5.243913312647036,-5.40365299059614,-6.305083322714954
-4.661599282360548,-5.501181793562127,-5.689785980211369,-5.924992088187777,-6.311862300689121,-5.929812118688715,-5.9616282144413395,-6.005109107513183,-6.261508798514367,-7.727929137517554
-2.7672589127198086,-4.127529944307607,-4.698710192747017,-5.0767994368591705,-5.887426138427337,-5.485091032341712,-5.623087552657626,-5.781829533934036,-5.909579155105471,-6.627700345258213
-4.577055281762311,-5.282664950487212,-5.7404206436529766,-6.178094075891456,-6.598680133567075,-6.342478400150338,-6.357661369761496,-6.382396189608705,-6.702367489262871,-8.05881137209689
-4.180594123356564,-5.497932041575989,-5.842410348328141,-5.9455540897165635,-6.2911822392884975,-5.978643796571199,-5.955304996455457,-6.077755837252763,-6.260655123391969,-7.452970962986141
-4.96422211391695,-6.139726706655533,-6.64251746189182,-6.915712623964484,-7.3093872691729445,-7.090478020783355,-7.190825617514377,-7.213164256604709,-7.562633563503176,-8.526519857271683
-3.244295362143928,-4.538850996093167,-5.164833473097589,-5.585634127310099,-6.066039769248537,-5.995652965158179,-6.129528756571428,-6.229269080082358,-6.418375692443475,-7.014139664488737
-2.7072888561544732,-4.231514554312799,-4.493690344566681,-5.006708266383555,-5.417595118453461,-5.19770900817244,-5.405475174892965,-5.361729638179185,-5.595424973638705,-5.845825992186047
-4.17001907100626,-5.553787768076606,-6.219890272820803,-6.352675852840014,-6.753243756291999,-6.389047266242705,-6.445103708543898,-6.464359409216853,-6.7299454239675045,-7.819891729609159
-4.234830377985368,-5.178533558497644,-5.394023479704866,-5.509343504358858,-5.819385042222676,-5.558936731062316,-5.609172568014147,-5.667192357586281,-5.922298452661348,-7.127091866247729
-4.585587693591961,-5.426723095500223,-5.901500142041092,-6.096126833999804,-6.516927005747638,-6.3605000066681585,-6.477750110360259,-6.568436915012554,-6.912270817427021,-8.41996084547658
-4.581605130655812,-5.5483758072652245,-5.824403229567667,-5.977812522416381,-6.3506912220723155,-6.032112133233603,-6.088496032218406,-6.123091100020647,-6.37182595718099,-7.5876531095602155
-4.122599572625924,-5.133087149687074,-5.543388093058948,-5.652118050272565,-5.966785066573384,-5.732619136593019,-5.786430277643226,-5.86973970399337,-6.181381571645993,-7.567405974384871
-4.525417226609835,-6.297073967779447,-7.1086102724696785,-7.5039712082366,-8.143931435006122,-7.970376088218454,-8.239673644662217,-8.448566617470837,-8.593493402186567,-9.041021774473982
-4.820020214993888,-6.221172296190535,-7.144543691134752,-7.631881862987598,-8.074186531853963,-7.862960739382587,-7.934899629222099,-7.965719055659719,-8.241157178972902,-9.454482574496602
-2.7061791070838352,-3.9488913880276444,-4.890230139222627,-5.188146951721195,-5.981453348820719,-5.7917501494077674,-5.915628055668016,-6.008665616945071,-6.353945934784485,-7.78528878138141
-3.183685970568806,-4.656225683928148,-5.1423144986561,-5.353017978764283,-6.2849155290772645,-5.967811074116529,-5.958556533396087,-6.333718054777641,-6.661436254907693,-7.912343488361729
-4.974534177428611,-6.208247749546857,-7.343081214757556,-7.9342034829591945,-8.389689497270119,-8.238816805532306,-8.281790025208947,-8.356816301689387,-8.647185220350952,-9.922649406696216
-4.007308762592351,-5.074333491400049,-5.627034763368394,-5.9441158118610735,-6.408734623604855,-6.161522788846502,-6.32734327632744,-6.432113199334135,-6.785333280397046,-8.20664898179996
-4.721633001265529,-6.239685306386244,-7.299380410965654,-7.901530712175685,-8.427671680921705,-8.458909939445707,-8.672197399349152,-8.89221559545618,-9.093606223517403,-9.42700739563868
-4.753902020715635,-6.196878247928244,-7.108744180083112,-7.716077343738103,-8.294117505717121,-8.265292850784189,-8.43571591270155,-8.692427560825168,-8.905833200095916,-9.229129523414002
