0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-3.382305302741015,-3.8682479730457406,-3.962796837321865,-3.9465045231786022,-4.0712643843127525,-4.209115699158032,-4.3382779525511825,-4.476840872142667,-4.647378798976341,-4.797570315745756,-4.962901304551769,-5.130758481868358,-5.280804791841002,-5.406097802078035,-5.513220602146946,-5.631783539964113,-5.727239189838784,-5.811310501610517,-5.914423021008221,-5.975101480385908,-6.042141510156201,-6.076694312937148,-6.1062097535887485,-7.051350405891694,-7.317649271367663,-6.295831704025951,-6.316019152889702,-6.403971304587677,-6.407493506865041,-6.480916905901364,-6.533719076123117,-6.593417046398374,-6.662144583799076,-6.507752382871573,-6.615745395449617,-6.71708275604779,-6.662840477131717,-6.7222366421189275,-6.7198481213955485,-6.687031053492484,-6.7615109335882115,-6.816040785289968,-6.973070027242884,-7.179014235231149,-7.395094922650721,-7.68643511088987,-7.857196127288044,-8.927709135867728,-9.198415331357394,-8.61602106043023
-4.143123386033667,-4.931685957581369,-5.4028663041891285,-5.615750392736456,-5.457245436096925,-5.646814978320201,-5.766522852282041,-5.8415486816657705,-5.874311431521319,-5.876387990072461,-5.925533592098612,-5.928521289364405,-5.9341180507893965,-5.944253508311584,-6.001070369872689,-5.950205074237451,-5.929490981741215,-5.986244553971826,-6.055030962528804,-5.91617257576871,-5.974858736328713,-5.999986304956541,-6.103203450206111,-7.055830913331414,-7.001969079009356,-6.063844853229252,-6.0742708204110185,-6.030252208420346,-6.084515430694696,-6.23425748659794,-6.154022578125138,-6.23020897595877,-6.250597201171189,-6.356259380046008,-6.333839700237666,-6.360385971069815,-6.33113068611506,-6.489308588387949,-6.347092797658976,-6.482950040989065,-6.516685947130734,-6.53686040732793,-6.837027311197781,-6.83036014389524,-7.008656519108033,-7.4638465061845585,-7.737368383682675,-9.26261593755783,-9.614944997398519,-8.49442463250979
-3.5142276338261675,-4.529223595902943,-4.901128254586756,-5.0939056406721095,-5.207443506245537,-5.439947699057475,-5.615490501241075,-5.748268976475342,-5.774891379082105,-5.742338798266234,-5.77828647254115,-5.912297871735633,-6.027391254622779,-6.1525621597143205,-6.145342567903325,-6.18927837277047,-6.1877997524355095,-6.168451472637107,-6.146903521398753,-6.1478398331643325,-6.117183268734539,-6.143307433779329,-6.144175486269472,-7.08273099490069,-7.178030337997099,-6.227809833130893,-6.208170422173369,-6.228728609678894,-6.195599269204992,-6.1997984763040686,-6.23052999619909,-6.242060916842374,-6.192134851597717,-6.21893496265221,-6.204781552034361,-6.229183160522736,-6.265812658308549,-6.296136509584632,-6.2741851195237155,-6.263372461068739,-6.344630903444052,-6.337423920550472,-6.511368176272186,-6.668228391085261,-6.907917357246435,-7.134622724397891,-7.4650531441480865,-8.636083629439057,-8.920926427976077,-8.121393523393078
-1.3636627400637267,-2.485723895884011,-2.95428209379408,-3.1858349142888134,-3.3586334696845785,-3.448210477618742,-3.6217894640455537,-3.832842608451644,-3.8903072883178935,-4.051746266674833,-3.9815117785406717,-4.166848766181131,-4.285904165958994,-4.429346966836377,-4.5363933683775235,-4.603160275086097,-4.609731043167208,-4.583205575657378,-4.589633278746141,-4.6368095793446225,-4.659031674636967,-4.755801867773481,-4.982683446041406,-5.914709927585441,-6.023517670566677,-5.000452415616637,-4.927823554187328,-4.9311538413248,-4.948603882369376,-5.033820682913346,-5.08305788613853,-5.042744213071305,-5.025588579962714,-4.956094134367169,-5.07915614672136,-5.041601670948077,-5.126947977484816,-5.316203984443609,-5.3562985512920935,-5.37851437906659,-5.3622096533948795,-5.2651212007172745,-5.325957305246175,-5.421435325943636,-5.643541467678739,-5.893606385371065,-5.939626703412748,-6.932253903239558,-6.904622058655456,-5.855185308000639
-3.4890626829054856,-4.53441097116802,-4.96993435800428,-5.150704977189937,-5.163703604607818,-5.473814517620461,-5.564687169932515,-5.5522804281042735,-5.4416347490337555,-5.473491224856518,-5.488001847542476,-5.512973487448441,-5.701487758983515,-5.818448978146365,-5.928031456483412,-5.964822013003475,-5.911576003588404,-5.876797962369938,-5.929553150107741,-5.9422132765959015,-5.918484731441757,-5.9549861079870166,-5.897752093381978,-6.992785187254446,-6.795375265965559,-5.855467353826224,-5.884201120766861,-5.955794649184208,-6.004800376979676,-5.948803609381452,-5.9574192092648675,-5.971863274906333,-5.922827547784009,-5.960375463570095,-5.995656635533302,-5.990926815718413,-6.029903968313621,-5.943827855004881,-6.039129839956048,-6.021744008740859,-6.0307549146503225,-6.115095943187674,-6.246628789414259,-6.333355181917525,-6.581692622481044,-6.882294662541209,-7.143189686187459,-8.211082316385504,-8.609984189820509,-7.793028865135676
-1.5454787011347235,-2.5337353293040703,-2.9224692947421413,-3.1550111207482328,-3.6796001176698763,-4.2339932500595205,-4.220323152391612,-4.048508769381543,-3.947157766786683,-4.187666782918676,-4.624830713650428,-4.951377870562172,-4.816843545592065,-4.523162255606627,-4.5773365783237905,-4.796088649787979,-5.176135351833538,-5.401120054379887,-5.079185628061832,-4.931467500232618,-4.9095755346799965,-5.210648194999917,-5.650232272736685,-6.965324554138156,-6.70135013558193,-5.012265853302106,-5.157300837263546,-5.645336330418562,-5.918686634233806,-5.69186550649054,-5.297994945149031,-5.292318319206176,-5.53351816754192,-5.931056296189254,-6.060550035201752,-5.651158078123654,-5.507087641925392,-5.535349037588059,-5.941578076119487,-6.2739748359135925,-5.882219321973768,-5.613124036445215,-5.5940366816227645,-6.046282891854913,-6.412232843630692,-6.188577790610444,-5.935061304627779,-7.3908172903990454,-7.488309137671765,-6.135584782808972
-3.518247609168235,-4.535747021615231,-4.893452747788405,-4.860321668593019,-5.077507361646661,-5.320520684244186,-5.320630161140832,-5.234630881332145,-5.235094829559742,-5.302448196159154,-5.380627516172646,-5.535441338528197,-5.78618724674361,-5.940698278423261,-6.059148838397167,-6.084087973694482,-6.1762662029627045,-6.194315405278354,-6.233686668991942,-6.202114128529799,-6.268133123889325,-6.2281185600158055,-6.300100315475451,-7.055263561707356,-7.141785106747438,-6.328119520756414,-6.340043904985718,-6.38043022250373,-6.3617139602887,-6.302084392217127,-6.375876034432825,-6.3694169577147175,-6.325391811029222,-6.328411971768611,-6.389210073862111,-6.3544298171792795,-6.413614461931325,-6.335207028483945,-6.394141587366543,-6.414588053082429,-6.5237039930149425,-6.499545717250647,-6.600683923238312,-6.8237329838373295,-7.064170828973126,-7.292531047553177,-7.6066188573520295,-8.46263602676203,-8.663475766504186,-8.268859594283022
-2.781726020424702,-3.8793946472778122,-4.483496765544823,-4.661785621546616,-5.096567561988866,-5.349273514863796,-5.477551484052376,-5.528167327751366,-5.521763020714098,-5.6129048604983165,-5.717797177994861,-5.730404855928027,-5.866297210755856,-5.903052356805797,-5.994500140156159,-5.986785735391574,-5.946267140636049,-5.940646710740575,-5.940278956010605,-5.913791905804012,-5.96775390017902,-5.928383278395181,-5.963221948879093,-6.91092957011221,-6.685622498876981,-5.964324908430031,-6.004664631162879,-5.971387954929336,-5.957372679804894,-5.995468808528857,-5.9549716621159785,-5.998598445789818,-5.938510655207478,-5.946442857986247,-5.938001361177762,-6.075208602949793,-6.066801836754379,-6.051303418306944,-6.131592415580113,-6.063872912672583,-6.012524772128089,-6.1106735805002925,-6.219806695444221,-6.420857726422437,-6.539412842464814,-6.703330252260503,-6.938582021811946,-7.936777528646155,-8.190461024957477,-7.495719364377423
-3.623314076757451,-4.810692495322589,-5.308378810433944,-5.430902625142409,-5.647500390228121,-5.918290529357305,-6.06800976197846,-6.132160322203976,-6.2380242535907575,-6.342175984340644,-6.462697594845442,-6.61876406437768,-6.689278762137565,-6.66066788910694,-6.781184763364211,-6.856367363359991,-6.909777770977006,-6.845916578198772,-6.952270147978488,-7.0142627317347,-6.924700609720839,-7.050864034920825,-6.845596472483088,-7.812220934590918,-7.913302945968847,-6.980024521357804,-7.16418281531744,-6.989553063396995,-7.112465009652677,-7.206263041348484,-7.207269080366562,-7.172875861204194,-7.329011327697066,-7.14998271255866,-7.0950495920224235,-6.907148866899725,-7.2165954585894925,-7.332144443680372,-7.3601163226412725,-7.24997074750047,-7.252999732028129,-7.355120012551786,-7.518714567176038,-7.76068534182663,-7.925657898267272,-7.9456963358590755,-8.159504442507584,-8.90180055961456,-9.12355994896508,-8.502249463217748
-2.1963805997732857,-2.894507043336447,-3.4015901054711035,-3.7377138710841087,-3.9911811279693645,-4.215347827996647,-4.397019307730364,-4.5510746570167955,-4.702471602739434,-4.82828533994243,-4.952090547619648,-5.070241254705435,-5.169937704424914,-5.265371813451894,-5.366495179512149,-5.441049743969712,-5.525200260675189,-5.596239781885995,-5.651307013974446,-5.714373836045154,-5.758023844650764,-5.8016613696613115,-5.8424904569014,-6.480929943713004,-6.4472216802866225,-5.94262127513962,-5.960304624839764,-5.982091948875393,-6.0405106699925755,-6.052752725423425,-6.080035236332816,-6.109885865747217,-6.130326697392177,-6.146331478763638,-6.181064504621294,-6.188070979876902,-6.220866780777532,-6.226764661954517,-6.251094379293095,-6.259548598509741,-6.285772528364592,-6.314969829954901,-6.404081432999978,-6.48230642945902,-6.604748241438886,-6.707724822915903,-6.786013018167574,-7.339967588403216,-7.352137312705752,-6.884956455769478
