0,1,2,3,4,5,6,7,8,9
-5.108924995344376,-6.304612283303981,-6.810197656431774,-7.0501317139616235,-7.911057647226663,-7.575996889235573,-7.640988660424799,-7.691384606000645,-7.963136592327112,-9.432735154308032
-7.38267359839392,-8.787482067644016,-9.571738024888711,-9.988067205840647,-10.426702999682542,-10.50393467907522,-10.57039340027693,-10.660056859509961,-10.971274168903022,-10.749854079663182
-5.057474866847248,-6.4371014634732076,-6.9464415200214855,-7.5203539903465275,-7.76397587224622,-7.908644648386436,-8.123001758085126,-8.321569724159346,-8.725998764550116,-10.232272171621785
-6.718018662823162,-8.140028397300268,-8.950778542776666,-9.556081078013081,-9.959379578438684,-10.11178663259059,-10.275679291982614,-10.355524187755902,-10.463544737100419,-10.72782037265549
-4.043069713641644,-6.10386688112258,-6.708125856185138,-7.0774139191560215,-7.398650111344787,-7.516709488458781,-7.094468997742375,-7.9881724574299025,-8.011048590680398,-8.083366075576688
-6.887634981727999,-7.898799608621883,-8.807704862154575,-9.536797206927307,-10.111034280191449,-10.247222668953292,-10.399413353084464,-10.450095008382249,-10.779396961976296,-11.386925374491438
-4.519351411283877,-5.841294821655776,-6.772662248709771,-7.074560295385782,-7.767983726000482,-7.905939326630342,-7.545351424860233,-7.989193343052101,-8.312448636386813,-8.68237963487641
-4.1002697538114425,-5.329103299028714,-5.958908262836201,-6.4443063892512855,-6.893282954120583,-6.815152665734889,-6.1980425800228565,-6.497882828203857,-6.743619351226758,-8.333375386429369
-6.765125849473791,-8.11858751319679,-8.971767141717736,-9.699150284043679,-10.321822696032607,-10.325379173030642,-10.40997381001873,-10.446646692208214,-10.719071869087838,-11.580252944921693
-4.106287982008024,-5.702772225696199,-6.300595358251613,-6.709166507922379,-7.295356381457539,-7.26214827621349,-6.776752633236497,-8.012884281203556,-8.286873746936589,-9.04990177066758
-4.965858304022736,-5.155753524472484,-5.40239988734932,-5.9931687996219285,-7.312386417881412,-7.057941634036361,-6.768986897888487,-6.720194741992967,-7.366906876992731,-9.272345457112705
-6.831813879499893,-8.020529269987803,-8.944856220482837,-9.619648498154506,-10.271191397743808,-10.234617400681824,-10.439174413498659,-10.482785487089789,-10.681515914285471,-11.632035859741348
-6.295289748834901,-7.6475243734167595,-8.350277888963733,-8.764037588269662,-9.258443428737296,-9.190148378629171,-9.290002953007535,-9.349466026062187,-9.453374453333836,-9.759302526936905
-4.293022298372543,-5.582333231816511,-6.817106055039992,-6.896523169417128,-7.460461684466197,-7.727875271803912,-7.310649345846791,-7.989478139972757,-8.111646192191056,-8.325359808573248
-4.496871546982598,-5.759842361606759,-6.294773908774042,-6.543507289419056,-6.927399556896032,-6.901177405630256,-7.220156998135056,-6.959985065965663,-7.489857219850541,-7.965623153691542
-7.77132973104102,-9.068564603859974,-10.011924694060612,-10.505694032261308,-10.845408304594914,-10.89091390847858,-10.929372619407426,-11.077259960161932,-11.096946625530666,-11.504554314567123
-4.43639800574458,-5.839711319173262,-6.339048135837242,-6.662146542274617,-7.427886931436022,-7.337255604278473,-7.30144717348862,-7.75507541178193,-8.221675883439554,-8.788860880645343
-3.6744714207315483,-4.960414633444048,-5.7181083105491,-6.03623145068968,-6.580199997151735,-6.653976304938883,-6.392356507027914,-6.7968028437598385,-7.119386010483255,-8.00879339722463
-7.3977076107467985,-8.563163651607336,-9.432672398140733,-10.051673543575628,-10.440101436901072,-10.534116285417822,-10.74200823249056,-10.744718612838968,-10.818081166958143,-11.469109486481484
