0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-3.1335393329449537,-3.6310712725370746,-3.8266122853393956,-3.909883660752085,-3.985892505855393,-3.939701168788337,-3.9339031582435053,-3.959105888113698,-4.040144762889112,-4.1023840057363925,-4.17119966720018,-4.247031731115883,-4.309722479318432,-4.366833425783932,-4.434616479212202,-4.519065265073133,-4.607322793882213,-4.6874348040704685,-4.754585542471597,-4.840555089019915,-4.916596310542336,-5.0092062985612005,-5.09370963561673,-5.167807328119987,-5.25411750918942,-5.3074920744925835,-5.375040474450141,-5.43715512970593,-5.481284077631105,-5.545157126662787,-5.609200251844937,-5.6543668280832895,-5.702634345969315,-5.7518440337082515,-5.793345565687352,-5.829275437533684,-5.913219536353829,-5.9156265056626145,-5.959440244012117,-5.990762716759701,-6.031390213412898,-6.052892806899503,-6.076272899494272,-6.077115726380025,-6.0600831560338015,-6.152336351143694,-6.120397571746363,-7.982303240037025,-8.295248416767594,-6.340050125967732,-6.27772863332194,-6.313934774729963,-6.2989769967623985,-6.3330613090170065,-6.3828652539590625,-6.425077355216292,-6.433219480302089,-6.381767533427994,-6.4281503530840185,-6.533683458718707,-6.520708762290884,-6.5467293899553525,-6.571562373033929,-6.615271719762817,-6.654066872636152,-6.670222294962002,-6.6193463415199405,-6.396158424223204,-6.6072191088101135,-6.62427168208912,-6.705641587040493,-6.728523925055088,-6.720118056157541,-6.605562898105891,-6.716324628401885,-6.728148655835967,-6.714725309976297,-6.724970932814799,-6.656919584640613,-6.717142522344357,-6.730457651230603,-6.792564215945819,-6.759232797452822,-6.872848773127116,-6.920741830084273,-7.025398224401497,-7.131338406784645,-7.226690063677652,-7.3402284746534505,-7.449961370647995,-7.648618417619538,-7.724251804160199,-7.83824081962522,-7.876151434950871,-8.11814161116857,-9.737276660566888,-9.816273174254293,-8.580557488460496,-8.592204923799834,-8.639873336873418
-3.9523411557856636,-4.333698918307405,-4.842242548163251,-5.021032461897191,-5.271345936917403,-5.534244179188618,-5.634080101999884,-5.597440542312968,-5.425281836076214,-5.489174405998437,-5.590291079075776,-5.703277638237167,-5.716092746616019,-5.816898320780495,-5.841415365826874,-5.841681853067141,-5.867766680830588,-5.880849091474573,-5.874660918460827,-5.878113190533918,-5.962183768499747,-5.888923123364218,-5.917209749774625,-5.93982057376503,-5.95509202891502,-5.91316679636705,-5.919409373992029,-5.9690707259092335,-5.965791296336228,-6.036311221227638,-6.0026099026709865,-5.89785702243277,-5.978853516186283,-5.88018192783184,-5.948879976192602,-6.023568650084984,-6.102191607561384,-6.007921412452923,-5.932487975327009,-5.8998748526996385,-6.023575138495854,-5.926195114662294,-6.084216014915093,-5.915847851455147,-6.135750122296261,-6.070692039949212,-6.0775114929774405,-8.033090399318807,-7.9783200412096775,-6.026675918501562,-5.968298218627175,-6.159287970350719,-6.09098751198579,-6.057572240094727,-6.1103951400413665,-5.950196105544313,-6.0950736528466285,-6.073968647570012,-6.273797605918516,-6.194760205976519,-6.135732696744897,-6.17229264381591,-6.2009222504063874,-6.259463971580977,-6.312314631912003,-6.188946636552523,-6.389634701566278,-6.322920218137352,-6.295123181692418,-6.372514272392291,-6.415461366459142,-6.305370245664656,-6.335549829071452,-6.326716330962521,-6.466032349638843,-6.512559609110241,-6.306098962016132,-6.388042219612065,-6.455422429006381,-6.510447828906763,-6.580464392160671,-6.452976601174501,-6.482099140827777,-6.591562344178571,-6.712383041824118,-6.961536538026078,-6.715166617584744,-6.9454288668186175,-6.8484033528932,-7.168736063257628,-7.384824259104728,-7.542783138695506,-7.692740880905294,-7.781947535969507,-7.973149983697748,-10.550684853548074,-10.852856608799442,-8.378374568675174,-8.491955549146141,-8.496893715873439
-3.0979243479858853,-3.9302893042945177,-4.401839224055668,-4.656534036019603,-4.85437806096855,-4.94785131518487,-5.0755599590127884,-5.112240674808704,-5.162688797985129,-5.252172239631737,-5.39281876076911,-5.4870492845087595,-5.570107606948007,-5.6608470560714075,-5.718299076313424,-5.778221482615112,-5.800867463990852,-5.7489303702528165,-5.758223145948439,-5.7264636695902285,-5.76062421512602,-5.795938479081404,-5.866597617113371,-5.957971602704603,-6.0108608526602065,-6.043912062620194,-6.143742746825423,-6.16137645396544,-6.11962526212031,-6.171044947797897,-6.181045444055704,-6.1975065232329385,-6.174401990055951,-6.2011897389808395,-6.146249170353218,-6.19064088908102,-6.198277734563241,-6.095559124956936,-6.193318581037498,-6.102387480385698,-6.095091318378838,-6.139262397296651,-6.103679198810833,-6.182912669191837,-6.099301655721521,-6.189023272806659,-6.2065407910704895,-7.958412672785545,-8.160837926433237,-6.195793154429469,-6.237493300390983,-6.2181319859910955,-6.182839269083296,-6.233486873491479,-6.202898005415508,-6.254544222297324,-6.200903735516015,-6.1902978815163205,-6.202140339106528,-6.197457972679091,-6.200497988967654,-6.260544573362489,-6.255174621354973,-6.228954823301633,-6.164704204900293,-6.219549578012668,-6.292389806443837,-6.145522750807068,-6.179038807132725,-6.230509356283122,-6.1801602456087865,-6.278177623367671,-6.267080228532112,-6.264545823761262,-6.287315527675534,-6.304952371945321,-6.2148990644698845,-6.333436765955923,-6.245349612153501,-6.281384849827901,-6.291361360581458,-6.397869529566738,-6.291612592659221,-6.383208660323386,-6.456733423257132,-6.565971220202496,-6.643099648234339,-6.693342549639693,-6.852322765538533,-6.963479682795483,-7.0610243595928885,-7.208178373959247,-7.384164314191941,-7.545895027598164,-7.696555988208369,-9.575065984749124,-9.79652833577365,-8.045832704686806,-8.082584879098926,-8.16020216768723
-1.0173979661378607,-1.7099275139895922,-2.327889413502683,-2.643558378265339,-2.8574701233624737,-3.0510940642256865,-3.1674042214511893,-3.2042656071264366,-3.2844090853420105,-3.432857854027146,-3.4114027386309624,-3.4850182166065213,-3.5544237987463303,-3.689155129344778,-3.814740190717379,-3.850945026185909,-3.838312382810175,-3.942302193825612,-4.087573673867249,-4.015918859482416,-3.964783584178425,-3.998239972902918,-4.104629135301834,-4.229068397060428,-4.297342051246498,-4.27446628067149,-4.3785825394630145,-4.480111394209739,-4.50297721063243,-4.569809526122617,-4.610087597322937,-4.596232952849258,-4.611899444908148,-4.607562641426268,-4.563505083655913,-4.602906067658844,-4.590799156241122,-4.588467401251162,-4.600078747880913,-4.673540410808332,-4.66735521995123,-4.6507081293227035,-4.715849781386705,-4.795753954160257,-4.92641628134439,-5.038950610738422,-4.999353606482157,-6.830066248688723,-7.060837966511899,-4.986197374621454,-4.983259732165632,-5.017645099067643,-4.936180456611095,-4.919466651763561,-4.938301833245408,-4.924005849404193,-4.939570606080238,-4.957637158658514,-4.992996690559512,-5.07464467526718,-5.126493100629311,-5.0396226716477495,-5.029609034197723,-5.055879391944887,-5.047289550439054,-5.003887609486376,-4.946973543221417,-4.96521472551292,-5.041636837302495,-5.116675456140225,-5.050506073182306,-5.032697268713849,-5.087036104378599,-5.166859850591033,-5.279398648284876,-5.353009320602342,-5.345801614979869,-5.366795487604318,-5.385460708026281,-5.371568050106897,-5.397399740524696,-5.327019566265062,-5.270758008807929,-5.2594843926266215,-5.288871084457887,-5.3630435260344616,-5.405833451932617,-5.437037199954656,-5.542602470053083,-5.744480465304396,-5.894863555462099,-5.89234921528003,-5.903592303471665,-5.975661103353831,-6.084521872132653,-7.779985934346463,-7.960077923131719,-5.849166194179195,-5.845096670748246,-5.865279431189548
-3.0813597882411834,-3.896584697847221,-4.338350767008525,-4.730558197166911,-4.974695317951742,-4.965173398056817,-4.9435333084887825,-5.357968599583369,-5.16073571112783,-5.166671498087807,-5.508067091207062,-5.4395467409386145,-5.516193825725551,-5.61318051413948,-5.6219387388054125,-5.482591199377967,-5.460519036511186,-5.422750461556325,-5.460668527328447,-5.486319613772752,-5.490038666274391,-5.485965028810561,-5.491757829012483,-5.534198562510426,-5.648194829802707,-5.754780688164323,-5.831084575826758,-5.80581338046597,-5.911634999636572,-5.9444206389483325,-5.9305772588163865,-5.9990819668151465,-5.897435141830786,-5.92571686534602,-5.925111119051008,-5.828463361766682,-5.9055229942696075,-5.953583305945875,-5.917521916784944,-5.966915595732119,-5.908861094261622,-5.928108368621893,-5.980023518233179,-5.929937584820192,-5.878524942842067,-5.9169792439218885,-5.930425298748229,-8.055616607002786,-7.636149722569942,-5.954600809361177,-5.912768061009208,-5.798166646643242,-5.864916139256639,-5.903477546384667,-5.950801465227478,-5.960787833140938,-5.999903357289654,-6.009695224078887,-5.938915940079959,-5.958691278682947,-5.946534337751963,-5.968299251642229,-6.009681078665068,-5.9340286856155275,-5.8761614158773305,-5.969493679690688,-5.970905153474998,-5.9498411000345195,-5.9930622173457,-5.998251053720904,-6.031157914708956,-5.950677860048335,-6.022846925145461,-6.036961011481781,-5.9869039868196126,-5.900732603735282,-6.043134725625265,-6.035124954286831,-6.072490541437098,-5.970974952062064,-6.013120109308328,-6.048389719992319,-6.102284347689567,-6.127913225146276,-6.2177362761187815,-6.275521302709736,-6.316421894413129,-6.350295985306299,-6.442577683011077,-6.72080756195101,-6.80029916077291,-6.964326558229512,-7.055062106662164,-7.231317265712754,-7.284417818934325,-9.138158116321126,-9.507228809647662,-7.712739569993356,-7.780423760919931,-7.805639564160214
-1.2027847212204659,-1.8881726810489812,-2.37642040458793,-2.6910502540202104,-2.8826612020059654,-2.9622773874783173,-3.0488287553550246,-3.2611934861414404,-3.493136812416326,-3.866063422923426,-4.205367627423168,-4.262618872695872,-4.221163786639386,-4.2194825181438365,-4.1042750375628465,-3.9927425012002407,-3.9155405133623593,-3.978775020211005,-4.0918793539130975,-4.283454211924254,-4.517423114846503,-4.732238312454354,-4.902089329747431,-5.000666411376913,-4.902502319682728,-4.731184771501403,-4.544267504640289,-4.502057006572963,-4.529902987616215,-4.624770169031365,-4.752033136455382,-4.840144163120577,-5.061065852102202,-5.291204851564873,-5.4413269677098155,-5.360913141049959,-5.153055130490297,-5.005316125633369,-4.964277105172773,-4.898657895292463,-4.890742018985739,-4.9284090503742535,-5.0814068282147336,-5.3398895617851005,-5.602357643539487,-5.698106901933882,-5.63010856379148,-8.30054054448483,-8.262398034593996,-5.140302236569864,-5.0292825614812395,-4.99524914512297,-5.061157727567693,-5.253443946959397,-5.53919659993693,-5.751476060900197,-5.853952563796699,-5.983420704670913,-5.836752945381873,-5.54697806759921,-5.350501276075811,-5.245488614222254,-5.235526782836156,-5.349109855576197,-5.453751295019591,-5.613285040064249,-5.789378892245281,-6.072733700133225,-6.1192847525545275,-6.001815317848975,-5.7232849221594,-5.579031234087909,-5.504291056686271,-5.5098842271645125,-5.494435003300642,-5.576263071875479,-5.780353776296322,-6.102802375942653,-6.351318955736425,-6.196630716090758,-5.95833153531916,-5.806107108628377,-5.658464752807118,-5.5677833200833104,-5.547748218642991,-5.640325144602537,-5.8713703870033385,-6.221195396706489,-6.445506377032622,-6.378959310228762,-6.261130492063761,-6.116025089157129,-5.989559594402627,-5.880563014852928,-5.84950286078353,-8.932131720014562,-8.92283443568885,-6.053783839654681,-6.12367656148157,-6.147500336784976
-3.11813416743402,-3.9183610509024502,-4.4335818174776795,-4.637912225752784,-4.859342941487258,-4.927562554089554,-4.872775927868493,-4.847867409317546,-4.993738810880923,-5.161275912412402,-5.300564663625421,-5.340476704862954,-5.33833682216339,-5.302923500118274,-5.241789518825141,-5.22747224383915,-5.226157449057708,-5.244032210061776,-5.303537774619719,-5.301358617698587,-5.342923622003186,-5.4183314103421045,-5.480657062623837,-5.5902256144325575,-5.756458620955354,-5.815915872531867,-5.898606138504449,-5.9827904183420735,-6.036868338989576,-6.0814293378047575,-6.111412997869498,-6.056762949519465,-6.16607304918172,-6.18645935674369,-6.192792806849844,-6.1958380037068626,-6.216266576672605,-6.251106761311279,-6.182510440436007,-6.221717816623592,-6.255998804263583,-6.280267443515065,-6.246090698450182,-6.2101464215814275,-6.241745923099573,-6.358454707851331,-6.334803708218192,-7.775723415196521,-7.892062229457234,-6.391507984037641,-6.3702031058220765,-6.286035935690751,-6.361920549534087,-6.318167260437351,-6.3749109097446395,-6.38594953526282,-6.363663709082698,-6.359764211494701,-6.295217740558952,-6.308951043875301,-6.3374301445864445,-6.414321924279205,-6.364700690113984,-6.37413322531545,-6.308919828714205,-6.341863793344238,-6.327184537355837,-6.329639406181386,-6.417718701859563,-6.360701445864657,-6.276774542333281,-6.432085092025277,-6.409265171948079,-6.417963751914569,-6.396888987861286,-6.273525069106603,-6.361479597363081,-6.426803577370007,-6.34717409873841,-6.482002007426449,-6.542289316562104,-6.50511866946778,-6.4082253782044765,-6.590866056296816,-6.63034551599316,-6.571022330483463,-6.668081064987553,-6.979384902687105,-7.031096949915285,-7.097244708030968,-7.196546889203821,-7.388515205902531,-7.510556515156267,-7.702681199547793,-7.773865524465831,-9.151406529058232,-9.242835824231504,-8.084115708776869,-8.213969385107571,-8.323783499105605
-2.383347555837235,-3.1801044850121687,-3.6630751768727428,-4.09571411768288,-4.37956182617007,-4.587431704919574,-4.647867423140819,-4.675703819952414,-4.997862942148716,-5.195272181829017,-5.315393039139702,-5.383153990587891,-5.45265547592086,-5.502447492183892,-5.498296956679113,-5.558037698823619,-5.52458330451317,-5.518942736915026,-5.579742628407272,-5.646067092589358,-5.723523987303004,-5.712070368686718,-5.717659346983528,-5.743150364872525,-5.879653757113985,-5.852940664397725,-5.8529270761889345,-5.95317763742266,-5.99349408708762,-5.995506193224701,-5.954148649838808,-6.019422820944343,-5.954219590374862,-5.9383146908972355,-5.934168077130211,-5.9471253443509395,-5.917753830940483,-5.962804081080727,-5.851678036203363,-5.975905775404661,-6.029227587944306,-5.906280212413734,-5.917826167679304,-5.938940389111059,-6.043857091825003,-5.882586805933184,-5.99218240474727,-7.8296767354771495,-7.499249788009568,-5.871995209744394,-5.94896137261001,-5.979688444250051,-5.993791983717034,-6.015537278608725,-5.921723008771147,-6.021052901087523,-5.991530249556362,-5.923215110053427,-5.950991290049564,-6.03994632700815,-5.945040216586171,-5.964903107645785,-5.960427723137464,-6.036769168442171,-5.975323409312301,-5.901697901102653,-6.034536043043424,-5.85834967292907,-5.845675044797212,-6.030327677558312,-6.046158055089506,-6.104259150810079,-6.051103598163761,-6.0825000753449965,-6.058718283084157,-6.0438885535297295,-6.096582598415523,-6.166602232744703,-6.032890361758406,-6.09485546358676,-6.094973707358622,-5.930075836897554,-6.050234702436907,-6.171112458563676,-6.193182136085473,-6.246431254802967,-6.372138331659038,-6.469577121185837,-6.487647846666934,-6.591177838262695,-6.69002096164935,-6.716639542871658,-6.865086248239501,-7.012077795384393,-7.126304756545898,-8.747250300746412,-8.900453906908702,-7.48046814300625,-7.513282576587956,-7.478143507665658
-3.2763702485850548,-3.970257904929848,-4.652509535834586,-4.968550643805483,-5.22101064407553,-5.39574697679236,-5.432538743463422,-5.429269866407271,-5.4984946174939395,-5.796506162962301,-5.913672821645917,-5.9228987551226755,-6.024617737935859,-6.111401786021062,-6.111015067963147,-6.1532621570315795,-6.208792607246144,-6.267255899935372,-6.2810580991985985,-6.4031683707452345,-6.410950688655546,-6.514444501035339,-6.532293680044305,-6.705056891453695,-6.627959620190795,-6.750597904084336,-6.655165107499233,-6.666159371368429,-6.711033166857225,-6.851336359871197,-6.7524251446188,-6.960096148387134,-7.007352898108773,-6.8122026438452385,-6.796472658677863,-6.895258970164197,-6.963521934481359,-6.941018361475615,-7.15451715376518,-6.874296306464037,-6.8541067820498265,-6.995294437391851,-7.113673954734073,-6.988183088248878,-6.795651765782511,-6.895541179183665,-7.0286438363228765,-8.594189044977506,-8.659740846890955,-7.16686504504674,-6.890152285035191,-7.069712215100701,-7.060845270867711,-7.267520359767171,-6.924848018301866,-7.054125243923141,-7.069575345152659,-7.1553546741526945,-7.19464819901556,-7.217854033902489,-7.108901013249654,-7.305637147483471,-7.19171680358698,-7.154073606588107,-7.178618314959841,-7.479404340434292,-7.391825168294105,-6.908636853241564,-7.017158447213755,-7.172940736831092,-6.790097195071994,-7.023960186218568,-7.002053445387431,-7.431137471791555,-7.47474314121531,-7.189838556612652,-7.284640688355439,-7.435591956927103,-7.312841368999831,-7.187229223786528,-7.318189319163895,-7.187810144892363,-7.485821207729857,-7.2246871976512885,-7.503317689333017,-7.534111445019059,-7.691222429297019,-7.830005620038934,-7.84705310231845,-8.004262694216093,-7.911073668802692,-7.9802479091432685,-8.13005253034183,-8.188956354673339,-8.355902443691043,-9.446577734848297,-9.72101443493975,-8.526105462990412,-8.539551101175334,-8.464947825260163
-2.0579956598301408,-2.33476553971643,-2.736623261824663,-3.052195424128538,-3.3072683743869575,-3.495970276289502,-3.6587646478599636,-3.8167119792761945,-3.9371981344453157,-4.045164121493413,-4.171278365288469,-4.259444595204642,-4.348042246657144,-4.44602669515719,-4.51921555467172,-4.582933759361871,-4.668968227612546,-4.735974977866321,-4.78905567164597,-4.86751500823889,-4.926644503194495,-4.977536592044802,-5.039122843857536,-5.101378945857454,-5.140457505542061,-5.199399660610437,-5.252772896944669,-5.2779707299591205,-5.340875537782799,-5.392114821241499,-5.416047507162752,-5.466051980776673,-5.513640323595879,-5.5367601977544965,-5.5817893301491255,-5.610690233622864,-5.635257081759552,-5.66735694618934,-5.710191078980374,-5.718556593109936,-5.73453596157225,-5.781511727729278,-5.78182843653607,-5.821494302786553,-5.831132124331042,-5.853848789471756,-5.868900672444561,-7.093338415273439,-7.000677600213928,-5.893765760359318,-5.9482659582948125,-5.936980084981429,-5.937426261304838,-5.983182988374691,-5.979448187420874,-5.984735710329912,-6.0286254016109435,-6.052395938374206,-6.024619821929308,-6.0808856289175415,-6.0922802118786255,-6.067790260787005,-6.110262080349182,-6.109509651145252,-6.1093817185632915,-6.151271676221063,-6.152736348028229,-6.139926609499046,-6.1773457147627076,-6.184783294479881,-6.152585473597318,-6.223556486156486,-6.2432382910237125,-6.198495270531352,-6.221189138202755,-6.23234018570628,-6.226781984278473,-6.275406774307719,-6.26589705850425,-6.253200138515233,-6.2949179610765835,-6.276627095652601,-6.301857431637544,-6.328082228272258,-6.374428167704641,-6.433734698295312,-6.450634516782024,-6.513978342136016,-6.564412541869313,-6.645083941008461,-6.679975091738402,-6.735474554093401,-6.772468203924695,-6.7995578324104535,-6.828319350001612,-7.851299016750083,-7.833712610183331,-6.870562015228173,-6.883318874649529,-6.886594036889428
