0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-3.6252766378933776,-3.9546506802502335,-4.1401900417353925,-4.407559412346925,-4.722474557361049,-5.046829893210063,-5.343451296959519,-5.5725020710555295,-5.7692748457246505,-5.944762250697065,-6.059417911546674,-6.578780079740222,-6.806740487696808,-6.359995228738689,-6.444205206383203,-6.563568061260745,-6.584948483335324,-6.666414075748704,-6.692538559625323,-6.7034395874440165,-6.788775859439091,-7.076042131237016,-7.540765016770296,-8.392452631577886,-8.907328539635936
-4.537404671807518,-5.509308348462791,-5.5520302072085626,-5.804035766973906,-5.875349710796889,-5.927027440731509,-5.939185779550489,-5.975637722055069,-5.957867767856521,-5.985601769148757,-5.987422520642626,-6.579517181768762,-6.532906966119304,-6.052261514415684,-6.159386458646318,-6.192115777041954,-6.303428290608598,-6.34711283565374,-6.410219637251505,-6.41502141932402,-6.526773177229332,-6.83369372754651,-7.236251512646296,-8.499992160620252,-9.054836688139964
-4.021725614864555,-4.997516947629432,-5.3236956026515045,-5.68187973885821,-5.75861508867417,-5.845292172138392,-6.0899767071685496,-6.167310470336898,-6.178125612536308,-6.1473716772815425,-6.130245351256935,-6.613453240585081,-6.702920085563997,-6.218449515926132,-6.197698872754531,-6.2362954565207325,-6.205534907124964,-6.216982356278547,-6.28097458394659,-6.268778790296227,-6.341027411997261,-6.589798283678723,-7.021270040822163,-8.050568386793572,-8.521218005362657
-1.9246933179738688,-3.0700585040414468,-3.40342197365166,-3.727316036248599,-3.971026777496363,-4.074180272360901,-4.357625566397685,-4.56977682173181,-4.596468309412293,-4.613221429045383,-4.7074167712052235,-5.448696686813423,-5.5119850430916575,-4.929488697756065,-4.991212282641361,-5.062901049604918,-4.990841357164942,-5.060378908834719,-5.2215759809642135,-5.367406465179341,-5.313665427056077,-5.373696315594905,-5.768573926524902,-6.435940303326153,-6.379974986273465
-4.011736827036753,-5.060309641495102,-5.31874186139628,-5.558484487134969,-5.45756122008569,-5.500486282490472,-5.759968368564939,-5.946426734743444,-5.89418891187774,-5.935882511181744,-5.936733395234268,-6.4452079063695775,-6.3254213098958925,-5.92000185577578,-5.976798887425289,-5.964641242085601,-5.941599423152604,-5.993291987956407,-5.986870685708797,-6.0304378886208445,-6.072920751102663,-6.289987175549835,-6.731976970184999,-7.67707677263256,-8.201551838366871
-2.039607015219397,-3.0387402077451866,-3.9567966838646984,-4.134415960886577,-4.067412274852679,-4.7881042921063,-4.6700029005993455,-4.686712614055885,-5.288627703106713,-5.005326564147225,-5.060111864839957,-6.30777841343742,-5.856807994442018,-5.401318583841055,-5.805276070362173,-5.295156632177605,-5.7322872318655875,-5.855854056662703,-5.521218339756727,-6.107776456016539,-5.747671679209492,-5.820159786738839,-6.3004053171205685,-6.662939297513412,-6.81205103197101
-4.026997315391733,-4.876887208190713,-5.199014022945425,-5.277630521236488,-5.2687715128594474,-5.45803442735042,-5.863442762583435,-6.0716184060458245,-6.185290804120529,-6.21790039876087,-6.248125841952565,-6.677681938591403,-6.7349523137519265,-6.360237063744723,-6.3318991762529135,-6.372646496073771,-6.326901891398917,-6.371819945520695,-6.374410745207634,-6.404364820224487,-6.511624855132794,-6.71220845353782,-7.178350938263152,-8.034627442057031,-8.466197947012121
-3.3305603338512566,-4.572641193545719,-5.222920538426331,-5.502859405901871,-5.567333940606208,-5.724101016961444,-5.8846747837808255,-5.990642937773868,-5.943456925688312,-5.927035430907309,-5.948068589287101,-6.437075759495652,-6.324973703653506,-5.988026293046108,-5.976420744166875,-5.976785053952898,-5.942476756596862,-6.006604982063776,-6.0590526275306615,-6.097732664126348,-6.061599176314189,-6.320332210933328,-6.62137154736266,-7.437679775229052,-7.843152682674338
-4.217308524708032,-5.3696722149127805,-5.782965071653673,-6.100101533237805,-6.290126893189544,-6.540770949526608,-6.674965970642039,-6.81879539050863,-6.8778307578288205,-6.983282376253446,-6.987814755077953,-7.329157193115951,-7.446423816330522,-7.076823047390143,-7.159388138105129,-7.190063629340864,-7.239450997347622,-7.0010509259327645,-7.27439965524421,-7.3050152200129945,-7.304086124290092,-7.639762157785306,-7.935682268332478,-8.530843322685008,-8.812904706091414
-2.545443821554866,-3.5697040198202705,-4.103247124932995,-4.474035060430437,-4.765378471340932,-5.01115675495515,-5.217647373540709,-5.403772461740931,-5.560720021280592,-5.6828404250098,-5.779842607156038,-6.161660777835705,-6.194882427999056,-5.97119828685758,-6.046631697708,-6.0949605510400175,-6.138329088077908,-6.184567742249098,-6.223815721366025,-6.255321488901418,-6.300371179159747,-6.443193931229499,-6.656236532177396,-7.062947420906526,-7.118546884237616
-2.0608079321654404,-3.0216664451353608,-3.5102046526243207,-4.214697618743319,-4.54287491090008,-4.408899207697111,-4.464601636747544,-4.849784248434244,-5.101638692057922,-4.927164269931997,-4.861530056758685,-5.583961553576179,-5.771356644956471,-5.248959270268569,-5.071984948217014,-5.269407130587445,-5.507334387598192,-5.449239142415096,-5.302078201641032,-5.38986009482858,-5.594890152686666,-5.67473683961301,-5.365943732387632,-5.792114872390767,-6.177385477033257
